Roadway Name,Roadway Name og,From,To,Direction,average_volume
Morningside Drive,MORNINGSIDE DRIVE,120 STREET,121 STREET,WB,57.875
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,SB,57.875
Quincy St,QUINCY ST,TOMPKINS AVE,THROOP AVE,EB,57.83333333
Springfield Boulevard,SPRINGFIELD BOULEVARD,219 STREET,46 AVENUE,SB,57.83333333
Harrod Avenue,HARROD AVENUE,CROSS BRONX EXPRESSWAY,EAST 174 STREET,SB,57.83333333
Calhoun Avenue,Calhoun Avenue,Dewey Avenue,Cross Bronx Expressway,SB,57.83333333
150 Street,150 STREET,84 ROAD,84 DRIVE,NB,57.79166667
114 Street,114 STREET,ASTORIA BOULEVARD,NORTHERN BOULEVARD,SB,57.79166667
Garrison Avenue,GARRISON AVENUE,LONGWOOD AVENUE,BURNETT PLACE,EB,57.79166667
Melrose Avenue,MELROSE AVENUE,EAST 154 STREET,EAST 155 STREET,NB,57.75
Bates Road,Bates Road,Concord Street,Nassau County Line,EB,57.75
Tinton Street,Tinton Street,Home Street,168 Street,SB,57.75
Ocean Parkway,Ocean Parkway,Caton Avenue,Albemarle Road,NB,57.75
3 Street,3 Street,Smith Street,Hoyt Street,EB,57.75
Riverside Drive,RIVERSIDE DRIVE,West 73rd Street,West 74th Street,NB,57.75
Henry Hudson Pkwy,HENRY HUDSON PKWY,FAIRFIELD AVE,W 232nd ST,NB-SER,57.70833333
East 174 Street,EAST 174 STREET,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,EB,57.70833333
Henry Hudson Pkwy,HENRY HUDSON PKWY,FAIRFIELD AVE,W 232nd ST,NB-SER,57.66666667
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,SB,57.66666667
111 Avenue,111 AVENUE,140 STREET,141 STREET,EB,57.625
Harrod Avenue,Harrod Avenue,Cross Bronx Expressway,East 174 Street,SB,57.625
Amboy Road,AMBOY ROAD,ROSE LANE,COLON STREET,EB,57.58333333
East 174 Street,EAST 174 STREET,COMMONWEALTH AVENUE,ST LAWRENCE AVENUE,EB,57.58333333
Underhill Avenue,Underhill Avenue,189 Street,190 Street,EB,57.58333333
Sheridana Avenue,SHERIDANA AVENUE,EAST 161 STREET,EAST 162 STREET,NB,57.54166667
Willowbrook Road,WILLOWBROOK ROAD,COLLFIELD AVENUE,SENECA LOOP,EB,57.54166667
32 Avenue,32 AVENUE,88 STREET,89 STREET,EB,57.5
Lakewood Ave,LAKEWOOD AVE,INWOOD STREET,LIVERPOOL STREET,NB,57.5
East 204 Street,EAST 204 STREET,GRAND CONCOURSE,VALENTINE AVENUE,EB,57.5
Avenue U,AVENUE U,East 71st Street,Veterans Avenue,WB,57.5
Woodside Ave,WOODSIDE AVE,BARNETT AVE,39 AVENUE,NB,57.45833333
Calhoun Avenue,CALHOUN AVENUE,East 177th Street,Dewey Avenue,SB,57.45833333
Ocean Terrace,OCEAN TERRACE,WITTEMAN PLACE,MILFORD DRIVE,NB,57.41666667
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,SB,57.41666667
Marathon Parkway,MARATHON PARKWAY,60th Avenue,61st Avenue,SB,57.41666667
Ocean Parkway,OCEAN PARKWAY,Avenue S,AvenueT,SB,57.41666667
Longwood Avenue,LONGWOOD AVENUE,EAST 160 STREET,HEWITT PLACE,EB,57.375
E 177 St,E 177 ST,HARDING AVENUE,LONGSTREET AVENUE,WB,57.375
Astor Avenue,Astor Avenue,Wallace Avenue,Barnes Avenue,EB,57.33333333
Ocean Parkway,Ocean Parkway,Parkville Avenue,Newkirk Avenue,NB,57.29166667
Greene Avenue,GREENE AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,EB,57.29166667
45 Avenue,45 Avenue,192 Street,193 Street,WB,57.29166667
Delafield Avenue,DELAFIELD AVENUE,CLOVE ROAD,RAYMOND PLACE,EB,57.20833333
Henry Hudson Pkwy,HENRY HUDSON PKWY,W 235th ST,W 236th ST,SB-SER,57.16666667
West Farms Road,West Farms Road,Cross Bronx Expressway,174 Street,SB,57.16666667
Henry Hudson Pkwy,HENRY HUDSON PKWY,W 235th ST,W 236th ST,SB-SER,57.125
Ocean Parkway,Ocean Parkway,Avenue S,Avenue T,SB,57.125
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,NB,57.08333333
Bates Road,Bates Road,Concord Street,Nassau County Line,WB,57.04166667
Putnam Avenue,Putnam Avenue,Claver Place,Franklin Avenue,EB,57.04166667
E 204Th St,E 204th St,Grand Concourse,E Mosholu Pkwy S,EB,57.04166667
Sheridana Avenue,SHERIDANA AVENUE,EAST 161 STREET,EAST 162 STREET,NB,57
East 204 Street,EAST 204 STREET,GRAND CONCOURSE,VALENTINE AVENUE,EB,57
Eastchester Road,EASTCHESTER ROAD,MC DONALD STREET,RHINELANDER AVENUE,NB,56.95833333
Allerton Avenue,ALLERTON AVENUE,BRONXWOOD AVENUE,RADCLIFF AVENUE,EB,56.95833333
73 Avenue,73 AVENUE,195 STREET,196 STREET,EB,56.91666667
Springfield Boulevard,SPRINGFIELD BOULEVARD,64 AVENUE,67 AVENUE,SB,56.91666667
Throgs Neck Expwy Ser Rd,THROGS NECK EXPWY SER RD,HARDING AVENUE,LONGSTREET AVENUE,WB,56.91666667
Tinton Avenue,Tinton Avenue,East 150 Street,East 151 Street,SB,56.91666667
Calhoun Avenue,Calhoun Avenue,Dewey Avenue,Cross Bronx Expressway,SB,56.91666667
Calhoun Avenue,CALHOUN AVENUE,East 177th Street,Dewey Avenue,SB,56.91666667
Morningside Drive,MORNINGSIDE DRIVE,West 120th Street,West 121 Street,NB,56.91666667
Whitney Avenue,WHITNEY AVENUE,ASKE STREET,ROOSEVELT AVENUE,SB,56.875
Little Clove Road,LITTLE CLOVE ROAD,BRISTOL AVENUE,NORTHERN BOULEVARD,WB,56.875
East 174 Street,EAST 174 STREET,COMMONWEALTH AVENUE,ST LAWRENCE AVENUE,EB,56.79166667
Harrod Avenue,HARROD AVENUE,EAST 174 STREET,CROSS BRONX EXPRESSWAY,NB,56.79166667
Cross Island Parkway Sr,Cross Island Parkway SR,87 Avenue,88 Avenue,NB,56.79166667
3 Street,3 STREET,SMITH STREET,HOYT STREET,EB,56.79166667
Calhoun Avenue,CALHOUN AVENUE,SCHLEY AVENUE,DEWEY AVENUE,SB,56.79166667
3 Avenue,3 Avenue,East 189 Street,Park Avenue,NB,56.79166667
E 177 St,E 177 ST,HARDING AVENUE,LONGSTREET AVENUE,WB,56.75
Calhoun Avenue,CALHOUN AVENUE,SCHLEY AVENUE,DEWEY AVENUE,SB,56.75
Annadale Road,ANNADALE ROAD,WATKINS AVENUE,BERRY AVENUE,SB,56.70833333
Cedar Lawn Avenue,CEDAR LAWN AVENUE,VIRGINIA STREET,READS LANE,WB,56.70833333
Calhoun Avenue,CALHOUN AVENUE,East 177th Street,Dewey Avenue,SB,56.70833333
Gates Avenue,GATES AVENUE,Tompkins Avenue,Throop Avenue,EB,56.70833333
Gates Avenue,GATES AVENUE,Tompkins Avenue,Throop Avenue,WB,56.70833333
45 Avenue,45 AVENUE,194 STREET,195 STREET,EB,56.66666667
Laconia Avenue,LACONIA AVENUE,Adee Avenue,Burke Avenue,NB,56.66666667
East 177 Street,EAST 177 STREET,HARDING AVENUE,LAWTON AVENUE,SB,56.625
Henry Hudson Pkwy,HENRY HUDSON PKWY,FAIRFIELD AVE,W 232nd ST,NB-SER,56.625
Harrod Avenue,HARROD AVENUE,CROSS BRONX EXPRESSWAY,EAST 174 STREET,NB,56.625
45 Avenue,45 Avenue,192 Street,193 Street,WB,56.625
Astor Avenue,Astor Avenue,Wallace Avenue,Barnes Avenue,WB,56.58333333
Cherry Street,CHERRY STREET,CATHERINE SLIP,MARKET STREET,WB,56.54166667
Marathon Parkway,MARATHON PARKWAY,60th Avenue,61st Avenue,NB,56.45833333
Cross Island Parkway Sr,Cross Island Parkway SR,87 Avenue,88 Avenue,NB,56.41666667
Lakewood Ave,LAKEWOOD AVE,INWOOD STREET,LIVERPOOL STREET,NB,56.375
Ocean Parkway,OCEAN PARKWAY,Avenue S,AvenueT,NB,56.375
58 Street,58 STREET,55 AVENUE,55 DRIVE,SB,56.33333333
Fteley Avenue,FTELEY AVENUE,EAST 174 STREET,BRONX RIVER PKWY NB ET 4 N-S,NB,56.29166667
Wadsworth Avenue,Wadsworth Avenue,West 176 Street,West 175 Street,SB,56.29166667
East Tremont Avenue,EAST TREMONT AVENUE,HARDING AVENUE,SILVER BEACH PLACE,NB,56.29166667
Harrod Avenue,Harrod Avenue,Cross Bronx Expressway,East 174 Street,SB,56.29166667
Henry Hudson Pkwy,HENRY HUDSON PKWY,W 235th ST,W 236th ST,SB-SER,56.25
3 Street,3 STREET,SMITH STREET,HOYT STREET,EB,56.20833333
57 Street,57 STREET,WOODSIDE AVENUE,ROOSEVELT AVENUE,NB,56.20833333
Morningside Drive,MORNINGSIDE DRIVE,West 120th Street,West 121 Street,NB,56.20833333
Longwood Avenue,Longwood Avenue,Prospect Avenue,Hewitt Place,SB,56.125
East Tremont Avenue,EAST TREMONT AVENUE,HARDING AVENUE,SILVER BEACH PLACE,NB,56.125
Liberty Avenue,Liberty Avenue,Hinsdale Street,Williams Avenue,EB,56.125
Korean War Vets Parkway Sr,KOREAN WAR VETS PARKWAY SR,HEENAN AVENUE,ALBEE AVENUE,NB,56.08333333
3 Street,3 STREET,SMITH STREET,HOYT STREET,EB,56.08333333
Morningside Drive,MORNINGSIDE DRIVE,120 STREET,121 STREET,WB,56.04166667
Tinton Avenue,Tinton Avenue,Home Street,East 168 Street,NB,56.04166667
Stillwell Ave,Stillwell Ave,Bay 46 St,Bay 47 St,NB,56
Baychester Avenue,Baychester Avenue,Hutchinson River Parkway,Bartow Avenue,SB,56
Throgs Neck Expwy Ser Rd,THROGS NECK EXPWY SER RD,HARDING AVENUE,LONGSTREET AVENUE,WB,55.95833333
Calhoun Avenue,Calhoun Avenue,Dewey Avenue,Cross Bronx Expressway,SB,55.95833333
Gates Avenue,GATES AVENUE,Tompkins Avenue,Throop Avenue,WB,55.95833333
Park Avenue,PARK AVENUE,TOMPKINS AVENUE,DELMONICO PLACE,WB,55.91666667
Veterans Avenue,Veterans Avenue,East 67 Street,Avenue T,EB,55.91666667
Harrod Avenue,HARROD AVENUE,CROSS BRONX EXPRESSWAY,EAST 174 STREET,SB,55.91666667
Delafield Avenue,Delafield Avenue,Clove Road,Raymond Place,EB,55.91666667
Bates Road,Bates Road,Concord Street,Nassau County Line,WB,55.875
Beach Street,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,55.875
3 Street,3 Street,Smith Street,Hoyt Street,EB,55.79166667
Springfield Boulevard,Springfield Boulevard,219 Street,46 Avenue,NB,55.79166667
Jamaica Avenue,JAMAICA AVENUE,AUTUMN AVENUE,EUCLID AVENUE,WB,55.75
Hegeman Avenue,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET,WB,55.70833333
150 Street,150 STREET,84 DRIVE,84 ROAD,NB,55.70833333
Shore Pkwy,Shore Pkwy,19 Ave,20 Ave,WB,55.66666667
Whitney Avenue,WHITNEY AVENUE,ASKE STREET,ROOSEVELT AVENUE,SB,55.66666667
Ashland Place,Ashland Place,Lafayette Avenue,Hanson Place,SB,55.66666667
Laconia Avenue,LACONIA AVENUE,ADEE AVENUE,BURKE AVENUE,NB,55.625
East 177 Street,EAST 177 STREET,HARDING AVENUE,LAWTON AVENUE,SB,55.625
Stanley Avenue,Stanley Avenue,Snediker Avenue,Hinsdale Street,EB,55.625
Greene Avenue,GREENE AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,EB,55.625
East 174 Street,EAST 174 STREET,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,EB,55.625
Astor Avenue,Astor Avenue,Wallace Avenue,Barnes Avenue,WB,55.58333333
East 161 Street,East 161 Street,Eagle Avenue,Cauldwell Avenue,EB,55.58333333
Gates Avenue,GATES AVENUE,Classon Avenue,Franklin Avenue,EB,55.58333333
East 36 Street,East 36 Street,Quentin Road,Avenue R,SB,55.54166667
Gates Avenue,GATES AVENUE,Classon Avenue,Franklin Avenue,EB,55.54166667
150 Street,150 STREET,84 ROAD,84 DRIVE,SB,55.5
150 Street,150 STREET,84 ROAD,84 DRIVE,SB,55.5
Laconia Avenue,LACONIA AVENUE,ADEE AVENUE,BURKE AVENUE,SB,55.5
Terrace Drive,Terrace Drive,East Drive,West Drive,WB,55.41666667
Calhoun Avenue,CALHOUN AVENUE,East 177th Street,Dewey Avenue,SB,55.41666667
48 Street,48 STREET,54 ROAD,55 AVENUE,SB,55.375
Gerard Avenue,GERARD AVENUE,EAST 150 STREET,EAST 151 STREET,NB,55.375
Marathon Parkway,MARATHON PARKWAY,60th Avenue,61st Avenue,NB,55.375
Hegeman Avenue,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET,EB,55.33333333
Calhoun Avenue,CALHOUN AVENUE,SCHLEY AVENUE,DEWEY AVENUE,SB,55.33333333
Ocean Parkway Service Road,Ocean Parkway Service Road,Lawrence Avenue,Parkville Avenue,SB,55.33333333
Stuyvesant Avenue,STUYVESANT AVENUE,HALSEY STREET,MACON STREET,SB,55.29166667
East 174 Street,EAST 174 STREET,COMMONWEALTH AVENUE,ST LAWRENCE AVENUE,EB,55.29166667
E 177 St,E 177 ST,HARDING AVENUE,LONGSTREET AVENUE,EB,55.29166667
Ashland Place,Ashland Place,Lafayette Avenue,Hanson Place,SB,55.29166667
111 Avenue,111 AVENUE,140 STREET,141 STREET,EB,55.25
111 Avenue,111 AVENUE,140 STREET,141 STREET,EB,55.25
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,NB,55.25
Harrod Avenue,HARROD AVENUE,CROSS BRONX EXPRESSWAY,EAST 174 STREET,NB,55.25
Ocean Parkway Service Road,Ocean Parkway Service Road,Lawrence Avenue,Parkville Avenue,SB,55.25
58Th Street,58th STREET,Northen Boulevard,34th Avenue,SB,55.25
Bronxwood Avenue,BRONXWOOD AVENUE,Mace Avenue,Allerton Avenue,SB,55.25
Morningside Drive,MORNINGSIDE DRIVE,120 STREET,121 STREET,WB,55.20833333
Garrison Avenue,GARRISON AVENUE,LONGWOOD AVENUE,BURNETT PLACE,WB,55.16666667
Springfield Boulevard,SPRINGFIELD BOULEVARD,219 STREET,46 AVENUE,NB,55.16666667
3 Street,3 STREET,SMITH STREET,HOYT STREET,EB,55.16666667
Harrod Avenue,HARROD AVENUE,CROSS BRONX EXPRESSWAY,EAST 174 STREET,SB,55.16666667
Cedar Avenue,CEDAR AVENUE,WEST 179 STREET,WEST FORDHAM ROAD,NB,55.08333333
East 177 Street,EAST 177 STREET,HARDING AVENUE,LAWTON AVENUE,SB,55.04166667
48 Street,48 STREET,56 ROAD,55 AVENUE,NB,55.04166667
Benson Avenue,Benson Avenue,19 Avenue,Bay 22 Street,NB,55
200 Street,200 Street,36 Avenue,Francis Lewis Boulevard,NB,55
57 Street,57 STREET,WOODSIDE AVENUE,ROOSEVELT AVENUE,NB,54.95833333
Baychester Avenue,Baychester Avenue,Bartow Avenue,Hutchinson River Parkway,SB,54.91666667
Calhoun Avenue,CALHOUN AVENUE,DEWEY AVENUE,CROSS BRONX EXPRESSWAY,SB,54.91666667
204 Street,204 Street,Grand Concourse,Valentine Avenue,WB,54.91666667
101 Avenue,101 AVENUE,BRISBIN STREET,ALLENDALE STREET,EB,54.875
34Th St,34th St,91st St,92nd St,WB,54.875
58Th Street,58th STREET,Northen Boulevard,34th Avenue,SB,54.875
Laconia Avenue,LACONIA AVENUE,ADEE AVENUE,BURKE AVENUE,SB,54.83333333
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,NB,54.83333333
Tinton Avenue,TINTON AVENUE,EAST 166 STREET,HOME STREET,NB,54.79166667
Longwood Avenue,LONGWOOD AVENUE,EAST 160 STREET,HEWITT PLACE,EB,54.79166667
Calhoun Avenue,CALHOUN AVENUE,SCHLEY AVENUE,DEWEY AVENUE,SB,54.79166667
Calhoun Avenue,CALHOUN AVENUE,SCHLEY AVENUE,DEWEY AVENUE,SB,54.79166667
Bates Road,Bates Road,Concord Street,Nassau County Line,WB,54.75
51 Street,51 STREET,19 AVENUE,20 AVENUE,WB,54.70833333
Tinton Street,Tinton Street,Home Street,168 Street,SB,54.70833333
Cross Island Parkway Sr,Cross Island Parkway SR,87 Avenue,88 Avenue,SB,54.70833333
Cedar Lawn Avenue,CEDAR LAWN AVENUE,VIRGINIA STREET,READS LANE,WB,54.70833333
Avenue U,AVENUE U,EAST 71 STREET,EAST 72 STREET,WB,54.66666667
Calhoun Avenue,CALHOUN AVENUE,East 177th Street,Dewey Avenue,SB,54.66666667
Drumgoole Road East,DRUMGOOLE ROAD EAST,IONIA AVENUE,IONIA AVENUE,EB,54.625
Ocean Parkway,Ocean Parkway,Parkville Avenue,Newkirk Avenue,NB,54.625
East 36 Street,East 36 Street,Quentin Road,Avenue R,SB,54.625
204 Street,204 Street,Grand Concourse,Valentine Avenue,WB,54.625
45 Avenue,45 Avenue,192 Street,193 Street,WB,54.625
114 Street,114 STREET,ASTORIA BOULEVARD,NORTHERN BOULEVARD,SB,54.58333333
3 Street,3 Street,Smith Street,Hoyt Street,EB,54.58333333
Avenue B,AVENUE B,East 11th Street,East 12th Street,NB,54.58333333
Laconia Avenue,LACONIA AVENUE,ARNOW AVENUE,ADEE AVENUE,SB,54.54166667
Liberty Avenue,LIBERTY AVENUE,WILLIAMS AVENUE,HINSDALE STREET,EB,54.5
Calhoun Avenue,CALHOUN AVENUE,DEWEY AVENUE,CROSS BRONX EXPRESSWAY,SB,54.5
Hegeman Avenue,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET,EB,54.45833333
Harrod Avenue,HARROD AVENUE,CROSS BRONX EXPRESSWAY,EAST 174 STREET,NB,54.45833333
East 174 Street,EAST 174 STREET,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,EB,54.45833333
204 Street,204 Street,Grand Concourse,Valentine Avenue,EB,54.45833333
200 Street,200 Street,36 Avenue,Francis Lewis Boulevard,NB,54.45833333
Willowbrook Road,WILLOWBROOK ROAD,Seneca Loop,Collfield Avenue,EB,54.45833333
Laconia Avenue,LACONIA AVENUE,ARNOW AVENUE,ADEE AVENUE,NB,54.41666667
Calhoun Avenue,CALHOUN AVENUE,DEWEY AVENUE,CROSS BRONX EXPRESSWAY,SB,54.41666667
Henry Hudson Pkwy,HENRY HUDSON PKWY,INDEPENDENCE AVE,W 232nd ST,SB-SER,54.375
East 36 Street,East 36 Street,Quentin Road,Avenue R,SB,54.375
200 Street,200 Street,36 Avenue,Francis Lewis Boulevard,NB,54.375
East 174 Street,EAST 174 STREET,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,EB,54.33333333
Ocean Parkway Service Road,Ocean Parkway Service Road,Avenue S,Avenue T,SB,54.33333333
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,SB,54.25
Rockaway Boulevard,ROCKAWAY BOULEVARD,100 STREET,101 STREET,EB,54.20833333
Laconia Avenue,LACONIA AVENUE,ARNOW AVENUE,ADEE AVENUE,NB,54.20833333
Cherry Street,Cherry Street,Catherine Slip,Market Street,WB,54.16666667
Avenue B,AVENUE B,East 11th Street,East 12th Street,NB,54.16666667
Audubon Avenue,AUDUBON AVENUE,WEST 166 STREET,WEST 167 STREET,NB,54.125
Stewart Avenue,Stewart Avenue,Metropolitan Avenue,Grand Street,SB,54.08333333
34Th St,34th St,91st St,92nd St,WB,54.08333333
Little Clove Road,LITTLE CLOVE ROAD,Northern Boulevard,Bristol Avenue,EB,54.08333333
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,SB,54.04166667
3 Street,3 STREET,SMITH STREET,HOYT STREET,EB,54
Avenue U,AVENUE U,East 71st Street,Veterans Avenue,WB,54
Bronxwood Avenue,BRONXWOOD AVENUE,Mace Avenue,Allerton Avenue,NB,54
E 204Th St,E 204th St,Grand Concourse,E Mosholu Pkwy S,EB,54
Stillwell Avenue,STILLWELL AVENUE,MC DONALD STREET,RHINELANDER AVENUE,NB,53.95833333
Greene Avenue,GREENE AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,EB,53.95833333
Little Clove Road,LITTLE CLOVE ROAD,Northern Boulevard,Bristol Avenue,EB,53.95833333
Laconia Avenue,LACONIA AVENUE,ARNOW AVENUE,ADEE AVENUE,SB,53.91666667
Morningside Drive,MORNINGSIDE DRIVE,120 STREET,121 STREET,EB,53.875
E 177 St,E 177 ST,HARDING AVENUE,LONGSTREET AVENUE,WB,53.83333333
Cherry Street,CHERRY STREET,CATHERINE SLIP,MARKET STREET,WB,53.79166667
East Tremont Avenue,EAST TREMONT AVENUE,HARDING AVENUE,SILVER BEACH PLACE,NB,53.79166667
Bronxwood Avenue,BRONXWOOD AVENUE,Mace Avenue,Allerton Avenue,SB,53.79166667
East 36 Street,East 36 Street,Quentin Road,Avenue R,SB,53.75
Ocean Parkway Service Road,Ocean Parkway Service Road,Avenue S,Avenue T,SB,53.75
Calhoun Avenue,CALHOUN AVENUE,SCHLEY AVENUE,DEWEY AVENUE,SB,53.70833333
45 Avenue,45 Avenue,192 Street,193 Street,WB,53.70833333
Bay Ridge Avenue,BAY RIDGE AVENUE,11 AVENUE,12 AVENUE,EB,53.66666667
Longwood Avenue,Longwood Avenue,Prospect Avenue,Hewitt Place,SB,53.66666667
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,NB,53.66666667
167 Street,167 Street,Audubon Avenue,St Nicholas Avenue,WB,53.66666667
Tinton Avenue,TINTON AVENUE,EAST 166 STREET,HOME STREET,NB,53.625
Audubon Ave,AUDUBON AVE,WEST 166 ST,WEST 167 ST,NB,53.625
Wadsworth Avenue,Wadsworth Avenue,West 176 Street,West 175 Street,SB,53.625
East Drive,East Drive,Parade Place,St. Pauls Place,EB,53.625
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,NB,53.625
Laconia Avenue,Laconia Avenue,Adee Avenue,Burke Avenue,NB,53.625
Cedar Ave,Cedar Ave,W 179th St,W Fordham Rd,NB,53.625
Wadsworth Avenue,Wadsworth Avenue,West 176 Street,West 175 Street,SB,53.58333333
Veterans Avenue,Veterans Avenue,East 67 Street,Avenue T,EB,53.58333333
45 Avenue,45 AVENUE,193 STREET,192 STREET,WB,53.58333333
Cherry Street,CHERRY STREET,CATHERINE SLIP,MARKET STREET,WB,53.54166667
Cedar Ave,Cedar Ave,W 179th St,W Fordham Rd,NB,53.54166667
120 Avenue,120 AVENUE,191 STREET,192 STREET,EB,53.5
37 Street,37 STREET,12 AVENUE,13 AVENUE,EB,53.5
Maurice Avenue,MAURICE AVENUE,65 STREET,51 ROAD,EB,53.45833333
Lakewood Ave,LAKEWOOD AVE,INWOOD STREET,LIVERPOOL STREET,NB,53.45833333
East 36 Street,East 36 Street,Quentin Road,Avenue R,SB,53.41666667
East 177 Street,EAST 177 STREET,HARDING AVENUE,LAWTON AVENUE,SB,53.375
Beach Street,BEACH STREET,UNION PLACE,VAN DUZER STREET,NB,53.375
Cedar Avenue,CEDAR AVENUE,WEST 179 STREET,WEST FORDHAM ROAD,NB,53.33333333
Henry Hudson Pkwy,HENRY HUDSON PKWY,INDEPENDENCE AVE,W 232nd ST,SB-SER,53.33333333
Cherry Street,CHERRY STREET,Market Street,Catherine Street,WB,53.33333333
Henry Hudson Pkwy,HENRY HUDSON PKWY,FAIRFIELD AVE,W 232nd ST,NB-SER,53.29166667
114 Street,114 STREET,ASTORIA BOULEVARD,NORTHERN BOULEVARD,SB,53.25
Arthur Kill Road,ARTHUR KILL ROAD,Sharrotts Road,Winant Lane,SB,53.25
Drumgoole Road East,DRUMGOOLE ROAD EAST,IONIA AVENUE,IONIA AVENUE,EB,53.16666667
45 Avenue,45 AVENUE,193 STREET,192 STREET,WB,53.16666667
East Mosholu Parkway South,EAST MOSHOLU PARKWAY SOUTH,GRAND CONCOURSE,VAN CORTLANDT AVENUE EAST,SB,53.125
Morningside Drive,Morningside Drive,West 121 Street,Amsterdam Avenue,WB,53.125
204 Street,204 Street,Grand Concourse,Valentine Avenue,WB,53.125
Putnam Avenue,Putnam Avenue,Claver Place,Franklin Avenue,EB,53.08333333
Harrod Avenue,Harrod Avenue,Cross Bronx Expressway,East 174 Street,SB,53.08333333
Hegeman Avenue,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET,EB,53.04166667
Lakewood Ave,LAKEWOOD AVE,INWOOD STREET,LIVERPOOL STREET,NB,53.04166667
E 176 St,E 176 ST,MARMION AVENUE,PROSPECT AVENUE,EB,53.04166667
Harrod Avenue,Harrod Avenue,Dead End,Dead End,SB,53.04166667
Cherry Street,CHERRY STREET,Market Street,Catherine Street,WB,53.04166667
New Lots Avenue,NEW LOTS AVENUE,HINSDALE STREET,WILLIAMS AVENUE,WB,53
Annadale Road,ANNADALE ROAD,WATKINS AVENUE,BERRY AVENUE,SB,53
Ocean Parkway Service Road,Ocean Parkway Service Road,Lawrence Avenue,Parkville Avenue,NB,53
Benson Avenue,BENSON AVENUE,19th Avenue,Bay 22nd Street,WB,53
Morningside Drive,MORNINGSIDE DRIVE,West 120th Street,West 121st Street,SB,53
East 174 Street,EAST 174 STREET,ST LAWRENCE AVENUE,COMMONWEALTH AVENUE,EB,52.95833333
Hegeman Avenue,HEGEMAN AVENUE,FOUNTAIN AVENUE,LOGAN STREET,WB,52.91666667
Calhoun Avenue,CALHOUN AVENUE,DEWEY AVENUE,CROSS BRONX EXPRESSWAY,SB,52.91666667
Henry Hudson Pkwy,HENRY HUDSON PKWY,W 235th ST,W 236th ST,SB-SER,52.875
Eastern Parkway,Eastern Parkway,Troy Avenue,Albany Avenue,WB,52.875
East Drive,East Drive,Parade Place,St. Pauls Place,EB,52.875
Tinton Avenue,Tinton Avenue,Home Street,East 168 Street,SB,52.875
Morningside Drive,MORNINGSIDE DRIVE,West 120th Street,West 121st Street,SB,52.875
Whitney Avenue,WHITNEY AVENUE,ASKE STREET,ROOSEVELT AVENUE,SB,52.83333333
Whitney Avenue,WHITNEY AVENUE,ASKE STREET,ROOSEVELT AVENUE,SB,52.79166667
Ashland Place,Ashland Place,Lafayette Avenue,Hanson Place,SB,52.79166667
Morningside Drive,MORNINGSIDE DRIVE,West 120th Street,West 121st Street,SB,52.79166667
Morningside Drive,Morningside Drive,West 121 Street,Amsterdam Avenue,EB,52.75
East Tremont Avenue,EAST TREMONT AVENUE,HARDING AVENUE,SILVER BEACH PLACE,NB,52.75
Drumgoole Road East,DRUMGOOLE ROAD EAST,IONIA AVENUE,IONIA AVENUE,EB,52.70833333
East 174 Street,EAST 174 STREET,COMMONWEALTH AVENUE,ST LAWRENCE AVENUE,EB,52.70833333
Kings Highway Service,KINGS HIGHWAY SERVICE,AVENUE I,AVENUE J,SB,52.70833333
Ocean Parkway,Ocean Parkway,Lawrence Avenue,Parkville Avenue,SB,52.70833333
48 Street,48 STREET,56 ROAD,55 AVENUE,NB,52.70833333
East Mosholu Parkway South,EAST MOSHOLU PARKWAY SOUTH,GRAND CONCOURSE,VAN CORTLANDT AVENUE EAST,SB,52.66666667
Morningside Drive,MORNINGSIDE DRIVE,120 STREET,121 STREET,WB,52.66666667
Audubon Ave,AUDUBON AVE,WEST 167 ST,WEST 166 ST,SB,52.625
Tinton Street,Tinton Street,Home Street,168 Street,NB,52.625
Bronxwood Avenue,Bronxwood Avenue,Mace Avenue,Allerton Avenue,SB,52.625
4Th Ave,4th Ave,Senator St,68th St,SB,52.58333333
