Roadway Name,Roadway Name og,From,To,Direction,average_volume
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3595.083333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3592.291667
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3591.166667
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3586.5
Long Island Expressway,Long Island Expressway,134 Street,135 Street,WB,3586.375
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,3585.333333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3584.291667
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3581.75
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3578.375
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,EB,3576.708333
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3572.208333
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3572.041667
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3566.5
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3563.083333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3562
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MARMION AVENUE,PROSPECT AVENUE,EB,3560.875
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3558.75
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3557.208333
Fdr Drive,FDR Drive,57 Street,56 Street,SB,3548.083333
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3547.291667
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3546.583333
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,3546.5
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3546.083333
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3545.583333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MARMION AVENUE,PROSPECT AVENUE,EB,3545.125
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3544.541667
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3542.958333
F D R Drive,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,SB,3540.208333
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3539.5
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,EB,3535.041667
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3531.583333
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3531.041667
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3524.541667
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3524.208333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3518.458333
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,EB,3513.625
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3507.625
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3502.875
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3502.375
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3496.958333
Long Island Expressway,Long Island Expressway,134 Street,135 Street,WB,3485.416667
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3479.583333
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,EB,3478.375
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MARMION AVENUE,PROSPECT AVENUE,EB,3476.875
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3474.541667
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,SB,3472.708333
Fdr Drive,FDR Drive,East 42 Street,East 43 Street,SB,3471.5
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,EB,3468.75
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3467.75
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,EB,3464.708333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3464.041667
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3463.208333
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3460.458333
Fdr Drive,FDR Drive,99 Street,100 Street,NB,3459.333333
F D R Drive,F D R Drive,119 Street,East 120 Street Pedestrian Overpass,NB,3459.333333
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,NB,3459.333333
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3455
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3451.708333
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,EB,3448.541667
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3446.791667
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3446.375
Harlem River Drive,HARLEM RIVER DRIVE,WEST 147 STREET,MACOMBS PLACE,SB,3443.666667
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3443.625
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3437.25
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MARMION AVENUE,PROSPECT AVENUE,EB,3435.958333
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3435.291667
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3431.625
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3428.208333
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3428.041667
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3427.375
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3426.625
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,EB,3425.875
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3417.166667
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3417
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3416.833333
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3413.666667
F D R Drive,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,SB,3412.333333
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3412.333333
Fdr Drive,FDR Drive,East 42 Street,East 43 Street,SB,3411.416667
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3409.125
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3408.416667
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,WB,3405.291667
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3401.916667
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,EB,3401.75
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3397.125
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,NB,3396.833333
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3392.041667
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,NB,3390
F D R Drive,F D R DRIVE,SUTTON SQUARE,EAST 57 STREET,SB,3385.791667
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,EB,3383.958333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3381.416667
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3377.166667
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3374.708333
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3374.458333
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,EB,3374.041667
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,WB,3373.166667
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3372.458333
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,WB,3369.083333
Cross Bronx Expressway,Cross Bronx Expressway,Prospect Avenue,Marmion Avenue,EB,3365.833333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3363.875
Major Deegan Expressway,Major Deegan Expressway,Van Cortlandt Avenue West,Mosholu Parkway,NB,3360.916667
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,WB,3360.708333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,FAHY AVENUE,GOETHALS ROAD NORTH,EB,3359.375
F D R Drive,F D R DRIVE,74 STREET,76 STREET,SB,3356.708333
Fdr Drive,FDR Drive,99 Street,100 Street,NB,3355.916667
F D R Drive,F D R Drive,119 Street,East 120 Street Pedestrian Overpass,NB,3355.916667
Fdr Drive,FDR Drive,East 103 Street Footbridge,102 Street,NB,3355.916667
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3351.583333
Bruckner Expressway,Bruckner Expressway,Arnow Place,Sands Place,NB,3350.166667
Grand Central Parkway,GRAND CENTRAL PARKWAY,UNION TURNPIKE,42 AVENUE,SB,3348.875
Long Island Expressway,LONG ISLAND EXPRESSWAY,JUNCTION BOULEVARD,97 STREET,WB,3347.125
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3346.416667
Cross Bronx Expressway,Cross Bronx Expressway,Noble Avenue,Rosedale Avenue,EB,3346.291667
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MORRIS AVENUE,WEEKS AVENUE,WB,3345.208333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3345
Cross Island Parkway,Cross Island Parkway,87 Avenue,88 Avenue,SB,3344.458333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,EB,3344.333333
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,SB,3344.041667
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,NB,3340.583333
Belt Parkway,BELT PARKWAY,BODY OF WATER,102 STREET,SB,3338.875
Cross Island Parkway,CROSS ISLAND PARKWAY,107 AVENUE,115 AVENUE,NB,3338.25
Long Island Expressway,Long Island Expressway,134 Street,135 Street,WB,3333
Long Island Expressway,LONG ISLAND EXPRESSWAY,188 STREET,189 STREET,WB,3332.75
Cross Island Parkway,Cross Island Parkway,114 Terrace,115 Avenue,SB,3331.375
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,EB,3328.25
F D R Drive,F D R DRIVE,EAST 102 STREET,EAST 105 STREET,NB,3325.666667
